drug_name,condition,review,cleaned_review
Ciprofloxacin,Urinary Tract Infection,Works well for my UTI but I experience a mild headache and dizziness,works well for my uti but i experience a mild headache and dizziness
Ciprofloxacin,Urinary Tract Infection,Cleared my UTI quickly but caused mild stomach upset,cleared my uti quickly but caused mild stomach upset
Ciprofloxacin,Bacterial Infections,Cleared my infection quickly but causes upset stomach,cleared my infection quickly but causes upset stomach
Ciprofloxacin,Infection,Great for infections but causes some stomach upset,great for infections but causes some stomach upset
Ciprofloxacin,Infections,Effective but gives me some stomach upset,effective but gives me some stomach upset
Ciprofloxacin,Infection,Worked well for my infection but I felt some dizziness,worked well for my infection but i felt some dizziness
Citalopram,Depression,Works for my depression but I experience some fatigue,works for my depression but i experience some fatigue
Citalopram,Anxiety,Helps reduce anxiety but sometimes makes me feel tired,helps reduce anxiety but sometimes makes me feel tired
Citalopram,Depression,Works for depression but can make me feel a bit sleepy,works for depression but can make me feel a bit sleepy
Citalopram,Depression,Good for depression but causes mild nausea and stomach discomfort,good for depression but causes mild nausea and stomach discomfort
Citalopram,Depression,Improves mood but has mild nausea at the start,improves mood but has mild nausea at the start
Citalopram,Depression,It helps with depression but I had some trouble sleeping and low energy,it helps with depression but i had some trouble sleeping and low energy
Citalopram,Depression,Helps with my depression but I feel a little sleepy sometimes,helps with my depression but i feel a little sleepy sometimes
Citalopram,Depression,Good for depression but sometimes I feel a bit nauseous,good for depression but sometimes i feel a bit nauseous
Citalopram,Anxiety,Keeps me calm but Ive had dry mouth,keeps me calm but ive had dry mouth
Citalopram,Depression,Helps with my depression but I feel a bit too tired during the day,helps with my depression but i feel a bit too tired during the day
Claritin,Allergies,Relieves my allergies without making me drowsy,relieves my allergies without making me drowsy
Claritin,Allergies,Effective for allergies but I feel a bit drowsy after using it,effective for allergies but i feel a bit drowsy after using it
Claritin,Allergies,Works well for seasonal allergies but it makes me feel a bit drowsy,works well for seasonal allergies but it makes me feel a bit drowsy
Claritin,Allergies,Relieves allergy symptoms but I sometimes feel a bit drowsy,relieves allergy symptoms but i sometimes feel a bit drowsy
Claritin,Allergies,Works well for seasonal allergies but I get a little drowsy during the day,works well for seasonal allergies but i get a little drowsy during the day
Claritin,Allergies,Works quickly to stop sneezing but not effective for congestion,works quickly to stop sneezing but not effective for congestion
Claritin,Allergies,Great for seasonal allergies though I still experience mild symptoms sometimes,great for seasonal allergies though i still experience mild symptoms sometimes
Clindamycin,Skin Infection,Cleared my infection but I felt a bit nauseous afterward,cleared my infection but i felt a bit nauseous afterward
Clindamycin,Bacterial Infection,Cleared my infection well but I had some stomach issues,cleared my infection well but i had some stomach issues
Clindamycin,Bacterial Infections,Works well but leaves a bad taste in my mouth,works well but leaves a bad taste in my mouth
Clindamycin,Skin Infection,Worked well for my infection but I experienced some stomach upset,worked well for my infection but i experienced some stomach upset
Clindamycin,Acne,Good for acne treatment but it made my skin peel a little,good for acne treatment but it made my skin peel a little
Clindamycin,Infection,Cleared up the infection fast but caused some stomach upset,cleared up the infection fast but caused some stomach upset
Clindamycin,Bacterial Infections,Cleared my infection but caused mild diarrhea,cleared my infection but caused mild diarrhea
Clindamycin,Skin Infection,Cleared up my skin infection but I had mild irritation during the treatment,cleared up my skin infection but i had mild irritation during the treatment
Clindamycin,Skin Infection,Cleared up my skin infection but caused some mild irritation,cleared up my skin infection but caused some mild irritation
Clindamycin,Skin Infection,Cleared up my infection quickly but caused some mild skin irritation,cleared up my infection quickly but caused some mild skin irritation
Clindamycin,Bacterial Infection,Cleared up my skin infection but gave me some stomach upset,cleared up my skin infection but gave me some stomach upset
Clindamycin,Skin Infection,Cleared up my skin infection quickly but caused some stomach upset,cleared up my skin infection quickly but caused some stomach upset
Clindamycin,Infection,Effective for infections but causes some mild stomach upset,effective for infections but causes some mild stomach upset
Clindamycin,Skin Infection,Cleared my infection but I had mild stomach upset,cleared my infection but i had mild stomach upset
Clindamycin,Infection,Effective for infections but I had diarrhea as a side effect,effective for infections but i had diarrhea as a side effect
Clomid,Infertility,Helped me conceive but caused mood swings and hot flashes,helped me conceive but caused mood swings and hot flashes
Clomid,Fertility,Helped me conceive after months of trying though I had mood swings while on it,helped me conceive after months of trying though i had mood swings while on it
Clomid,Infertility,Improved fertility successfully though I felt emotional ups and downs,improved fertility successfully though i felt emotional ups and downs
Clonazepam,Anxiety,Helps with anxiety but I sometimes feel drowsy after using it,helps with anxiety but i sometimes feel drowsy after using it
Clonazepam,Anxiety,Effective for anxiety but I sometimes feel too sedated during the day,effective for anxiety but i sometimes feel too sedated during the day
Clonazepam,Anxiety,Helps with anxiety but I feel a little drowsy sometimes,helps with anxiety but i feel a little drowsy sometimes
Clonazepam,Anxiety,Relieves anxiety effectively but I feel a little too relaxed and sleepy,relieves anxiety effectively but i feel a little too relaxed and sleepy
Clonazepam,Anxiety,Effective for anxiety but makes me feel a bit sluggish at times,effective for anxiety but makes me feel a bit sluggish at times
Clonazepam,Anxiety,Works for anxiety but sometimes makes me feel tired,works for anxiety but sometimes makes me feel tired
Clonazepam,Seizures,Helps manage my seizures effectively though I feel sleepy often,helps manage my seizures effectively though i feel sleepy often
Clonazepam,Anxiety/Seizures,Very effective for anxiety but causes drowsiness,very effective for anxiety but causes drowsiness
Clonazepam,Anxiety,Calms my anxiety but I feel groggy the next day,calms my anxiety but i feel groggy the next day
Clonazepam,Panic Disorder,Very calming but I worry about dependency,very calming but i worry about dependency
Clonazepam,Anxiety,Good for anxiety but I feel drowsy after taking it,good for anxiety but i feel drowsy after taking it
Clonazepam,Anxiety/Seizures,Very effective for anxiety but makes me sleepy during the day,very effective for anxiety but makes me sleepy during the day
Clonazepam,Anxiety,Calms my anxiety effectively but I feel a bit drowsy,calms my anxiety effectively but i feel a bit drowsy
Clonazepam,Anxiety,Helped me manage my anxiety effectively but I experienced some drowsiness,helped me manage my anxiety effectively but i experienced some drowsiness
Clonazepam,Anxiety,Helps with anxiety but it makes me feel overly relaxed and sleepy,helps with anxiety but it makes me feel overly relaxed and sleepy
Clonazepam,Anxiety,Good for panic attacks but I feel foggy for a while after taking it,good for panic attacks but i feel foggy for a while after taking it
Clonazepam,Anxiety,Helps with anxiety but can make me feel sleepy,helps with anxiety but can make me feel sleepy
Clonazepam,Anxiety,Helps manage my anxiety but makes me feel tired and drowsy,helps manage my anxiety but makes me feel tired and drowsy
Clonazepam,Anxiety,Helps with anxiety but makes me a bit groggy,helps with anxiety but makes me a bit groggy
Clonazepam,Anxiety,Helps with anxiety but I feel a little foggy,helps with anxiety but i feel a little foggy
Clonazepam,Anxiety,Works for anxiety but makes me feel tired and unmotivated,works for anxiety but makes me feel tired and unmotivated
Clonidine,High Blood Pressure,Helps lower blood pressure but it sometimes causes a dry mouth,helps lower blood pressure but it sometimes causes a dry mouth
Clonidine,High Blood Pressure,Helps lower my blood pressure but makes me feel a bit dizzy,helps lower my blood pressure but makes me feel a bit dizzy
Clonidine,High Blood Pressure,Effective for blood pressure but makes me feel lightheaded at times,effective for blood pressure but makes me feel lightheaded at times
Clonidine,High Blood Pressure,Helps with blood pressure control but makes me feel a little lightheaded,helps with blood pressure control but makes me feel a little lightheaded
Clonidine,High Blood Pressure,Helps lower blood pressure but can cause dry mouth and drowsiness,helps lower blood pressure but can cause dry mouth and drowsiness
Clonidine,High Blood Pressure,Effective for lowering blood pressure but I feel tired afterward,effective for lowering blood pressure but i feel tired afterward
Clopidogrel,Blood Clots,Keeps me safe from clots but causes some bruising,keeps me safe from clots but causes some bruising
Clopidogrel,Blood Clots,Prevents clots well but Ive bruised easily,prevents clots well but ive bruised easily
Clopidogrel,Blood Thinner,Prevents clots well but I bruise more easily now,prevents clots well but i bruise more easily now
Clopidogrel,Blood Clots,Effective for preventing clots but causes some bruising,effective for preventing clots but causes some bruising
Clopidogrel,Blood Clots,Prevents clots but I bruise more easily now,prevents clots but i bruise more easily now
Clopidogrel,Blood Clots,Good for preventing blood clots but causes some bruising,good for preventing blood clots but causes some bruising
Clopidogrel,Blood Thinners,Helps prevent blood clots but makes me bruise more easily,helps prevent blood clots but makes me bruise more easily
Clopidogrel,Heart Disease,Very effective for preventing blood clots but I had some minor stomach upset,very effective for preventing blood clots but i had some minor stomach upset
Clopidogrel,Heart Disease,Works well but bruises appear more easily now,works well but bruises appear more easily now
Clopidogrel,Heart Conditions,Effective for my condition but causes easy bruising,effective for my condition but causes easy bruising
Clotrimazole,Fungal Infections,Clears up infections effectively but takes time to work,clears up infections effectively but takes time to work
Colchicine,Gout,Reduces gout attacks but upsets my stomach occasionally,reduces gout attacks but upsets my stomach occasionally
Colchicine,Gout,Stops my gout attacks quickly but Ive had mild diarrhea,stops my gout attacks quickly but ive had mild diarrhea
Colchicine,Gout,Stops my gout flares quickly but it causes some diarrhea,stops my gout flares quickly but it causes some diarrhea
Combivent,COPD,Improves breathing significantly though its a bit expensive,improves breathing significantly though its a bit expensive
Concerta,ADHD,Helps me focus better during the day though I feel restless in the evenings,helps me focus better during the day though i feel restless in the evenings
Copaxone,Multiple Sclerosis,Helps manage symptoms well though the injections are a bit painful,helps manage symptoms well though the injections are a bit painful
Copaxone,Multiple Sclerosis,Helps manage my MS symptoms effectively though the injections can be painful,helps manage my ms symptoms effectively though the injections can be painful
Copaxone,Multiple Sclerosis,Helps with MS symptoms but it caused some site injection reactions and bruising,helps with ms symptoms but it caused some site injection reactions and bruising
Copaxone,Multiple Sclerosis,Reduces relapses effectively though I experience mild injection site pain,reduces relapses effectively though i experience mild injection site pain
Coreg,Heart Failure,Improves my heart function but I feel dizzy occasionally,improves my heart function but i feel dizzy occasionally
Cortef,Adrenal Insufficiency,Helps with adrenal issues but I feel a bit moody after using it,helps with adrenal issues but i feel a bit moody after using it
Cosentyx,Psoriatic Arthritis,Improves joint pain and skin condition though I experienced mild nasal congestion,improves joint pain and skin condition though i experienced mild nasal congestion
Coumadin,Blood Clot Prevention,Effective in preventing blood clots but I had some minor bruising and bleeding,effective in preventing blood clots but i had some minor bruising and bleeding
Coumadin,Blood Thinner,Keeps my blood clotfree but the frequent blood tests are inconvenient,keeps my blood clotfree but the frequent blood tests are inconvenient
Coumadin,Blood Clot Prevention,Keeps my blood thin but I get nosebleeds more often than before,keeps my blood thin but i get nosebleeds more often than before
Coumadin,Blood Thinner,Works well for clot prevention but requires frequent blood tests,works well for clot prevention but requires frequent blood tests
Cozaar,High Blood Pressure,Lowers my BP effectively but I get occasional headaches,lowers my bp effectively but i get occasional headaches
Cozaar,High Blood Pressure,Lowers my BP consistently without major side effects,lowers my bp consistently without major side effects
Cozaar,High Blood Pressure,Controls my blood pressure effectively without side effects,controls my blood pressure effectively without side effects
Crestor,High Cholesterol,Lowered my LDL levels considerably with no side effects,lowered my ldl levels considerably with no side effects
Crestor,High Cholesterol,Great for lowering cholesterol but I sometimes feel muscle pain,great for lowering cholesterol but i sometimes feel muscle pain
Crestor,High Cholesterol,Lowers cholesterol well but I experienced slight muscle aches,lowers cholesterol well but i experienced slight muscle aches
Crestor,High Cholesterol,Lowers my cholesterol significantly but I feel mild muscle cramps,lowers my cholesterol significantly but i feel mild muscle cramps
Cyclobenzaprine,Muscle Spasms,Relaxes muscles but makes me sleepy,relaxes muscles but makes me sleepy
Cyclobenzaprine,Muscle Spasms,Relaxes my muscles but makes me very sleepy,relaxes my muscles but makes me very sleepy
Cymbalta,Depression,Works great for my depression but I occasionally feel lightheaded,works great for my depression but i occasionally feel lightheaded
Cymbalta,Depression,Works for depression but I feel a little tired sometimes,works for depression but i feel a little tired sometimes
Cymbalta,Anxiety,Helps manage anxiety but causes some dizziness and dry mouth,helps manage anxiety but causes some dizziness and dry mouth
Cymbalta,Depression,Lifts my mood significantly but causes occasional nausea,lifts my mood significantly but causes occasional nausea
Cymbalta,Depression,Works well for depression but I had some nausea and dizziness during the first few weeks,works well for depression but i had some nausea and dizziness during the first few weeks
Cymbalta,Nerve Pain,Relieved my pain significantly but I noticed some dizziness initially,relieved my pain significantly but i noticed some dizziness initially
Cymbalta,Depression,Reduces depression symptoms but it gives me a dry mouth sometimes,reduces depression symptoms but it gives me a dry mouth sometimes
Cymbalta,Depression,Improved my energy and mood but I sometimes feel nauseous,improved my energy and mood but i sometimes feel nauseous
Cymbalta,Depression/Anxiety,Helps with both anxiety and depression but I feel a bit nauseous,helps with both anxiety and depression but i feel a bit nauseous
Cymbalta,Depression,Balances my mood effectively but I feel lightheaded sometimes,balances my mood effectively but i feel lightheaded sometimes
Cymbalta,Depression,Improves mood effectively though I feel slight nausea sometimes,improves mood effectively though i feel slight nausea sometimes
Cymbalta,Anxiety,Eases my anxiety and chronic pain though I experience dry mouth occasionally,eases my anxiety and chronic pain though i experience dry mouth occasionally
Cymbalta,Fibromyalgia,Eased my pain and improved my sleep but I felt fatigued,eased my pain and improved my sleep but i felt fatigued
Cymbalta,Depression,Helps with both mood and nerve pain though I feel slightly nauseous if I take it on an empty stomach,helps with both mood and nerve pain though i feel slightly nauseous if i take it on an empty stomach
Dabigatran,Blood Clots,Prevents clots but causes mild stomach irritation,prevents clots but causes mild stomach irritation
Dabigatran,Blood Clots,Easy to use but causes minor stomach upset,easy to use but causes minor stomach upset
Dapagliflozin,Diabetes,Helps with blood sugar control but gives me frequent urination,helps with blood sugar control but gives me frequent urination
Dapagliflozin,Type 2 Diabetes,Great for controlling blood sugar but I notice more frequent urination,great for controlling blood sugar but i notice more frequent urination
Dapagliflozin,Type 2 Diabetes,Lowers my sugar levels but I urinate more frequently,lowers my sugar levels but i urinate more frequently
Dapoxetine,Erectile Dysfunction,Works for ED but gives me some dizziness,works for ed but gives me some dizziness
Dapoxetine,Premature Ejaculation,Effective for premature ejaculation but caused some dizziness and nausea,effective for premature ejaculation but caused some dizziness and nausea
Dapoxetine,Erectile Dysfunction,Effective for ED but causes some dizziness,effective for ed but causes some dizziness
Depakote,Bipolar Disorder,Balances my mood but I gained some weight while on it,balances my mood but i gained some weight while on it
Depakote,Bipolar Disorder,Stabilizes my mood but Ive noticed some weight gain,stabilizes my mood but ive noticed some weight gain
Depakote,Bipolar Disorder,Stabilized my mood swings effectively but I feel a bit sluggish sometimes,stabilized my mood swings effectively but i feel a bit sluggish sometimes
Desvenlafaxine,Depression,Works well for depression but sometimes causes headaches,works well for depression but sometimes causes headaches
Desvenlafaxine,Depression,Great for managing depression but I experience occasional nausea,great for managing depression but i experience occasional nausea
Desvenlafaxine,Depression,Improved my mood but I feel more tired in the evenings,improved my mood but i feel more tired in the evenings
Desvenlafaxine,Depression,It works well for depression but I noticed some headaches and sleep disturbances,it works well for depression but i noticed some headaches and sleep disturbances
Desyrel,Depression,Effective for my depression but I experienced drowsiness and dry mouth,effective for my depression but i experienced drowsiness and dry mouth
Dexamethasone,Inflammation,Effective for inflammation but can make me feel restless,effective for inflammation but can make me feel restless
Dexamethasone,Inflammation,Reduces inflammation well but I feel a little moody sometimes,reduces inflammation well but i feel a little moody sometimes
Dexamethasone,Inflammation,Works quickly for inflammation but causes mild insomnia,works quickly for inflammation but causes mild insomnia
Dexamethasone,Inflammation,Relieves inflammation well but causes weight gain,relieves inflammation well but causes weight gain
Dexamethasone,Inflammation,Helps with inflammation but gives me some sleep disturbances,helps with inflammation but gives me some sleep disturbances
Dexamethasone,Inflammation,Effective for inflammation but causes a lot of fluid retention,effective for inflammation but causes a lot of fluid retention
Dexamethasone,Inflammation,Reduces my inflammation quickly but Ive gained weight,reduces my inflammation quickly but ive gained weight
Dexilant,Acid Reflux,Relieves my acid reflux effectively but its expensive,relieves my acid reflux effectively but its expensive
Diazepam,Anxiety/Seizures,Works well for anxiety but makes me drowsy,works well for anxiety but makes me drowsy
Diazepam,Anxiety,Great for anxiety relief but it makes me feel too sleepy,great for anxiety relief but it makes me feel too sleepy
Diazepam,Anxiety,Effective for calming me down but makes me sleepy,effective for calming me down but makes me sleepy
Diclofenac,Pain Relief,Effective but needs food to avoid stomach upset,effective but needs food to avoid stomach upset
Diclofenac,Pain/Inflammation,Works for pain relief but can upset my stomach,works for pain relief but can upset my stomach
Diclofenac,Pain Relief,Effective for pain but it can cause some stomach issues,effective for pain but it can cause some stomach issues
Diclofenac,Pain Relief,Good for pain but I experienced some upset stomach and mild nausea,good for pain but i experienced some upset stomach and mild nausea
Diclofenac,Pain/Inflammation,Good for pain but causes stomach irritation,good for pain but causes stomach irritation
Diclofenac,Pain,Relieves pain quickly but it can cause stomach irritation if taken frequently,relieves pain quickly but it can cause stomach irritation if taken frequently
Diclofenac,Arthritis,Effective for pain relief but causes some stomach discomfort,effective for pain relief but causes some stomach discomfort
Diclofenac,Arthritis,Helps with joint pain but can cause stomach irritation,helps with joint pain but can cause stomach irritation
Diclofenac,Inflammation,Very effective for inflammation but causes some stomach discomfort,very effective for inflammation but causes some stomach discomfort
Diclofenac,Inflammation,Helps reduce inflammation but can cause stomach upset if taken frequently,helps reduce inflammation but can cause stomach upset if taken frequently
Diclofenac,Pain,Relieves my pain but Ive had some stomach upset,relieves my pain but ive had some stomach upset
Diclofenac,Arthritis Pain,Effective for arthritis pain but causes some stomach upset,effective for arthritis pain but causes some stomach upset
Diflucan,Yeast Infection,Cleared up my symptoms quickly no side effects,cleared up my symptoms quickly no side effects
Digoxin,Heart Failure,Helps with heart failure symptoms but I feel slightly fatigued sometimes,helps with heart failure symptoms but i feel slightly fatigued sometimes
Dilaudid,Pain Relief,Effective for pain relief but it can make me feel drowsy and dizzy,effective for pain relief but it can make me feel drowsy and dizzy
Diltiazem,High Blood Pressure,Helps control blood pressure but can cause mild dizziness,helps control blood pressure but can cause mild dizziness
Diltiazem,High Blood Pressure,Effective for blood pressure but causes mild swelling in my ankles,effective for blood pressure but causes mild swelling in my ankles
Diltiazem,High Blood Pressure,Effective for controlling blood pressure but causes a bit of dizziness,effective for controlling blood pressure but causes a bit of dizziness
Diltiazem,High Blood Pressure,Lowers my blood pressure but causes some dizziness and fatigue,lowers my blood pressure but causes some dizziness and fatigue
Diphenhydramine,Allergies,Works quickly for allergies but leaves me feeling drowsy,works quickly for allergies but leaves me feeling drowsy
Diphenhydramine,Allergies,Effective for allergies but it makes me feel very sleepy,effective for allergies but it makes me feel very sleepy
Diphenhydramine,Allergies,Works well for seasonal allergies but makes me feel very drowsy,works well for seasonal allergies but makes me feel very drowsy
Diphenhydramine,Allergies,Helps with allergies but causes drowsiness,helps with allergies but causes drowsiness
Diphenhydramine,Allergies,Works well for my allergies but makes me drowsy,works well for my allergies but makes me drowsy
Divalproex,Epilepsy,Great for controlling seizures but I gained some weight and felt tired,great for controlling seizures but i gained some weight and felt tired
Divalproex,Seizure Disorder,Helps with seizures but I sometimes feel drowsy,helps with seizures but i sometimes feel drowsy
Divalproex,Epilepsy,Keeps my seizures at bay but makes me feel a bit tired,keeps my seizures at bay but makes me feel a bit tired
Divalproex,Seizures/Manic Episodes,Helps prevent seizures but causes some weight gain,helps prevent seizures but causes some weight gain
Divalproex,Epilepsy,Great for controlling seizures but I noticed some weight gain and dizziness,great for controlling seizures but i noticed some weight gain and dizziness
Divalproex,Bipolar Disorder,Balances my mood but I feel tired often,balances my mood but i feel tired often
Donepezil,Alzheimer’s,Improved memory function but it causes occasional nausea,improved memory function but it causes occasional nausea
Donepezil,Alzheimer’s,Improves my memory but I feel tired during the day,improves my memory but i feel tired during the day
Doxepin,Insomnia,Works for insomnia but makes me feel a bit drowsy during the day,works for insomnia but makes me feel a bit drowsy during the day
Doxepin,Anxiety/Depression,Helps with anxiety and depression but makes me sleepy,helps with anxiety and depression but makes me sleepy
Doxycycline,Infection,Worked for my infection but caused some stomach issues,worked for my infection but caused some stomach issues
Doxycycline,Bacterial Infections,Cleared up my infection quickly but caused nausea,cleared up my infection quickly but caused nausea
Doxycycline,Acne,Cleared up my acne but it gave me some stomach upset,cleared up my acne but it gave me some stomach upset
Doxycycline,Infection,Works well for infections but Ive had some stomach discomfort,works well for infections but ive had some stomach discomfort
Doxycycline,Acne,Helps clear acne but causes mild nausea and sensitivity to sunlight,helps clear acne but causes mild nausea and sensitivity to sunlight
Doxycycline,Acne,Helps clear up acne but causes mild nausea at times,helps clear up acne but causes mild nausea at times
Doxycycline,Acne,Helps clear up acne but can cause nausea and sun sensitivity,helps clear up acne but can cause nausea and sun sensitivity
Doxycycline,Acne,Cleared up my acne but I did experience some nausea,cleared up my acne but i did experience some nausea
Doxycycline,Acne,Works well for acne but causes slight nausea,works well for acne but causes slight nausea
Doxycycline,Acne/Bacterial Infections,Cleared up my skin but made me sensitive to sunlight,cleared up my skin but made me sensitive to sunlight
Doxycycline,Acne,Cleared up my acne fairly quickly but I did have some stomach issues,cleared up my acne fairly quickly but i did have some stomach issues
Doxycycline,Acne,Cleared up my acne but I had some nausea while on it,cleared up my acne but i had some nausea while on it
Doxycycline,Acne,Effective for acne but caused some upset stomach and sensitivity to sunlight,effective for acne but caused some upset stomach and sensitivity to sunlight
Doxycycline,Bacterial Infection,Cleared my infection quickly but I had some stomach discomfort,cleared my infection quickly but i had some stomach discomfort
Dulcolax,Constipation,Effective for constipation but causes some stomach cramping,effective for constipation but causes some stomach cramping
Dulcolax,Constipation,Works fast but it caused cramping initially,works fast but it caused cramping initially
Dulera,Asthma,Controls asthma symptoms effectively though its a bit pricey,controls asthma symptoms effectively though its a bit pricey
Dulera,Asthma,Keeps my asthma under control but sometimes leaves a slight aftertaste,keeps my asthma under control but sometimes leaves a slight aftertaste
Duloxetine,Anxiety/Depression,Helps my mood and pain but has side effects like dry mouth,helps my mood and pain but has side effects like dry mouth
Duloxetine,Chronic Pain,Eases my nerve pain but I feel nauseous sometimes,eases my nerve pain but i feel nauseous sometimes
Duloxetine,Depression,Works well for my depression but I feel a little nauseous after taking it,works well for my depression but i feel a little nauseous after taking it
Duloxetine,Chronic Pain,Relieves pain and lifts my mood but Ive had some nausea,relieves pain and lifts my mood but ive had some nausea
Duloxetine,Fibromyalgia,Helps with my chronic pain but I feel a bit nauseous after taking it,helps with my chronic pain but i feel a bit nauseous after taking it
Duloxetine,Anxiety and Depression,Helps with both anxiety and depression but can cause some initial nausea,helps with both anxiety and depression but can cause some initial nausea
Duloxetine,Nerve Pain,Helps with my pain but Ive had nausea,helps with my pain but ive had nausea
Duloxetine,Depression,Works well for depression but can cause mild nausea,works well for depression but can cause mild nausea
Duloxetine,Depression/Anxiety,Helps with depression but can cause some stomach upset,helps with depression but can cause some stomach upset
Duloxetine,Depression,Good for treating depression but it causes mild nausea at times,good for treating depression but it causes mild nausea at times
Duloxetine,Depression,Good for depression but can cause nausea,good for depression but can cause nausea
Duloxetine,Depression,Works great for depression but I occasionally feel nauseous,works great for depression but i occasionally feel nauseous
Duloxetine,Anxiety,Helps with anxiety but sometimes makes me feel a bit nauseous,helps with anxiety but sometimes makes me feel a bit nauseous
Duloxetine,Anxiety/Depression,Helped with both anxiety and depression but caused dry mouth,helped with both anxiety and depression but caused dry mouth
Duloxetine,Depression/Anxiety,Helps with mood and anxiety but I feel a bit nauseous occasionally,helps with mood and anxiety but i feel a bit nauseous occasionally
Duloxetine,Depression,Good for depression but I sometimes feel jittery after taking it,good for depression but i sometimes feel jittery after taking it
Duloxetine,Depression,Effective for depression but I sometimes feel a little jittery,effective for depression but i sometimes feel a little jittery
Duloxetine,Anxiety,Helps with my anxiety but I experienced some nausea at first,helps with my anxiety but i experienced some nausea at first
Duloxetine,Depression/Nerve Pain,Relieves my pain and anxiety but makes me sleepy at times,relieves my pain and anxiety but makes me sleepy at times
Duloxetine,Depression,Helps with my depression but makes me feel nauseous,helps with my depression but makes me feel nauseous
Duloxetine,Depression,Has been great for my depression but I experienced some nausea in the beginning,has been great for my depression but i experienced some nausea in the beginning
Duloxetine,Depression,Effective for depression but it makes me feel tired at times,effective for depression but it makes me feel tired at times
Duloxetine,Depression,Helps elevate my mood but it made me feel nauseous at first,helps elevate my mood but it made me feel nauseous at first
Dupixent,Eczema,Clears skin effectively though injections sting slightly,clears skin effectively though injections sting slightly
Dupixent,Eczema,Great for controlling eczema but I did experience some injection site pain initially,great for controlling eczema but i did experience some injection site pain initially
Dupixent,Eczema,Helps clear up my eczema significantly though I felt a bit fatigued initially,helps clear up my eczema significantly though i felt a bit fatigued initially
Effexor,Depression,Stabilized my mood but I experienced dry mouth and occasional dizziness,stabilized my mood but i experienced dry mouth and occasional dizziness
Effexor,Depression,Improved my mood significantly but I experienced occasional dizziness,improved my mood significantly but i experienced occasional dizziness
Effexor,Depression,Very effective for depression but it makes me feel a little anxious at times,very effective for depression but it makes me feel a little anxious at times
Effexor,Depression,Improves my mood significantly though I feel nauseous sometimes,improves my mood significantly though i feel nauseous sometimes
Effexor,Depression,Stabilizes my mood well but tapering off is challenging,stabilizes my mood well but tapering off is challenging
Effexor XR,Depression,Balances my mood well but the withdrawal symptoms are intense,balances my mood well but the withdrawal symptoms are intense
Effexor XR,Anxiety,Reduces my anxiety significantly but I experienced mild nausea initially,reduces my anxiety significantly but i experienced mild nausea initially
Effient,Blood Clot Prevention,Prevents clots effectively though I need regular blood tests,prevents clots effectively though i need regular blood tests
Elavil,Depression,Helps with depression but I feel a bit sleepy during the day,helps with depression but i feel a bit sleepy during the day
Elavil,Depression,Helps with my depression but I sometimes feel drowsy during the day,helps with my depression but i sometimes feel drowsy during the day
Elavil,Depression,Has helped my depression but I gained some weight and felt a bit drowsy,has helped my depression but i gained some weight and felt a bit drowsy
Eliquis,Blood Clots,Helps with blood clot prevention but I sometimes feel a little lightheaded,helps with blood clot prevention but i sometimes feel a little lightheaded
Eliquis,Blood Thinner,Keeps my blood thin effectively but I bruise more easily now,keeps my blood thin effectively but i bruise more easily now
Eliquis,Blood Clots,No major side effects and keeps my condition under control Very satisfied,no major side effects and keeps my condition under control very satisfied
Eliquis,Blood Thinner,Prevents clots without regular blood tests though I feel occasional bruising,prevents clots without regular blood tests though i feel occasional bruising
Eliquis,Blood Clot Prevention,Very effective at preventing clots but I need to monitor for bruises,very effective at preventing clots but i need to monitor for bruises
Eliquis,Blood Clot Prevention,Prevents clots effectively but I need to monitor bruising,prevents clots effectively but i need to monitor bruising
Eliquis,Blood Clot Prevention,Prevents clots effectively but I need regular checkups,prevents clots effectively but i need regular checkups
Elmiron,Bladder Pain Syndrome,Eases bladder pain significantly but I noticed mild stomach upset,eases bladder pain significantly but i noticed mild stomach upset
Enalapril,High Blood Pressure,Lowers my blood pressure but Ive had a persistent dry cough,lowers my blood pressure but ive had a persistent dry cough
Enalapril,High Blood Pressure,Controls BP effectively but causes a slight cough,controls bp effectively but causes a slight cough
Enalapril,Hypertension,Lowers my BP well but I sometimes feel dizzy,lowers my bp well but i sometimes feel dizzy
Enbrel,Psoriasis,Has cleared up my psoriasis though it caused some mild injection site reactions,has cleared up my psoriasis though it caused some mild injection site reactions
Enbrel,Rheumatoid Arthritis,Very effective in reducing joint pain and inflammation though it caused mild fatigue,very effective in reducing joint pain and inflammation though it caused mild fatigue
Enbrel,Psoriasis,Cleared my skin effectively but I feel more fatigued on treatment days,cleared my skin effectively but i feel more fatigued on treatment days
Enbrel,Psoriasis,Cleared my skin significantly but I feel fatigued sometimes,cleared my skin significantly but i feel fatigued sometimes
Enbrel,Rheumatoid Arthritis,Helps with my arthritis but I sometimes feel a bit lightheaded,helps with my arthritis but i sometimes feel a bit lightheaded
Enbrel,Rheumatoid Arthritis,Reduces joint pain effectively though I experienced slight swelling initially,reduces joint pain effectively though i experienced slight swelling initially
Enbrel,Psoriatic Arthritis,Reduced my joint pain significantly but Ive had to monitor for infections,reduced my joint pain significantly but ive had to monitor for infections
Enbrel,Rheumatoid Arthritis,Effective for arthritis but I occasionally feel lightheaded,effective for arthritis but i occasionally feel lightheaded
Enbrel,Psoriasis,Significant improvement in my skin condition Expensive though,significant improvement in my skin condition expensive though
